oracion;carrera
Diseño de Multimedios;MM
Multimedia;MM
multi media;MM
mutimedios;MM
Diseño Gráfico;DG
Gráfico;DG
Artista gráfico;DG
Publicidad;Pub
Publicidad;Pub
Propagandas;Pub
Publicista;Pub
Agencia de Publicidad;Pub
Relaciones Públicas e Institucionales;RRPP
Relaciones Públicas;RRPP
Relaciones;RRPP
Gestión Contable y Financiera;GCF
Contabilidad;GCF
Administración Contable y Financiera;GCF
Administración Contable;GCF
asistente contable;GCF
asistente de contador;GCF
gestión contable;GCF
gestión financiera;GCF
Higiene y Seguridad Ambiental;HyS
Higiene;HyS
Higiene y Seguridad;HyS
Seguridad ambiental;HyS
Logística;Log
Logística;Log
Gestión logística;Log
Recursos Humanos;RRHH
Recursos Humanos;RRHH
Turismo;TUR
Administración Turística;TUR
Gestión de Turismo;TUR
Gestión turística;TUR
Agronegocios;Agro
Agro;Agro
Negocios agropecuarios;Agro
Negocios agrícolas;Agro
agropecuario;Agro
agrícola;Agro
negocios agrícolas;Agro
negocios agropecuarios;Agro
negocios del Campo;Agro
Comercio Internacional;CI
Comercio Exterior;CI
Ventas al Exterior;CI
Administración de Empresas;Admin
Administración;Admin
Gestión de Empresas;Admin
Algo sobre empresas;Admin
Marketing;MKT
marketing;MKT
Comercialización;MKT
tres d;3D
impresión 3 d;3D
Diseño e impresión 3 d;3D
Diseño tres d;3D
3d;3D
tres d;3D
impresión 3d;3D
Informática;INF
Analista de Sistemas;INF
Sistemas;INF
Programación;INF
Programador;INF
Computación;INF
Inteligencia Artificial y Ciencia de Datos;IA
Inteligencia Artificial;IA
Inteligencia;IA
ia;IA
agronomia;Agro
Ciencia de datos;IA
Automatización, Control y Robótica;Rob
Automatización;Rob
Control de robots;Rob
Robótica;Rob
Robótica;Rob
Mecatrónica;Rob
Robots;Rob
Diseño de robots;Rob
Automatización de procesos;Rob
Simulaciones Virtuales y Videojuegos;Svirt
videojuegos;Svirt
video juegos;Svirt
juegos;Svirt
simulaciones;Svirt
simulación;Svirt
Diseño de Videojuegos;Svirt
Creación de juegos;Svirt
Creación de video juegos;Svirt
simulaciones virtuales;Svirt

